Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-11-30,0.1309704438,0.1229335254,0.1252855993,21,100
Market-Adjusted Model,10028,2022-11-30,0.1356994006,0.1339699294,0.1300145561,21,100
Market-Adjusted Model,10032,2022-11-30,0.0342813559,0.0288288722,0.0285965114,21,100
Market-Adjusted Model,10044,2022-11-30,-0.12686566,-0.140957575,-0.132550504,21,100
Market-Adjusted Model,10065,2022-11-30,0.0173641547,0.0113558114,0.0116793102,21,100
Market-Adjusted Model,10066,2022-11-30,0.2900302385,0.2705190788,0.284345394,21,100
Market-Adjusted Model,10104,2022-11-30,0.0418948286,0.0368114032,0.0362099841,21,100
Market-Adjusted Model,10107,2022-11-30,0.0678682373,0.061944475,0.0621833928,21,100
Market-Adjusted Model,10113,2022-11-30,-0.0088169,-0.014957759,-0.014501745,21,100
Market-Adjusted Model,10138,2022-11-30,-0.055139425,-0.060031029,-0.060824269,21,100
Market-Adjusted Model,10145,2022-11-30,0.0080751226,0.0018843828,0.0023902781,21,100
Market-Adjusted Model,10158,2022-11-30,0.0698412757,0.0727638004,0.0641564312,21,100
Market-Adjusted Model,10200,2022-11-30,-0.116082118,-0.109749356,-0.121766962,21,100
Market-Adjusted Model,10207,2022-11-30,0.0129282644,0.0071398195,0.0072434199,21,100
Market-Adjusted Model,10220,2022-11-30,0.0244896842,0.0188861547,0.0188048397,21,100
Market-Adjusted Model,10252,2022-11-30,-0.025142632,-0.029928558,-0.030827477,21,100
Market-Adjusted Model,10253,2022-11-30,-0.018181782,0.0217428923,-0.023866626,21,100
Market-Adjusted Model,10257,2022-11-30,-0.03849059,-0.031691411,-0.044175434,21,100
Market-Adjusted Model,10258,2022-11-30,0.1027397273,0.1016463214,0.0970548828,21,100
Market-Adjusted Model,10294,2022-11-30,-0.013990826,-0.017282359,-0.01967567,21,100
Market-Adjusted Model,10308,2022-11-30,-0.049444545,-0.055628828,-0.055129389,21,100
Market-Adjusted Model,10318,2022-11-30,-0.090985908,-0.098345158,-0.096670752,21,100
Market-Adjusted Model,10333,2022-11-30,0.0543478235,0.0905908605,0.048662979,21,100
Market-Adjusted Model,10355,2022-11-30,0.004221496,-0.000198963,-0.001463348,21,100
Market-Adjusted Model,10382,2022-11-30,0.0032213424,-0.000793397,-0.002463502,21,100
Market-Adjusted Model,10397,2022-11-30,0.0696771772,0.0627247812,0.0639923327,21,100
Market-Adjusted Model,10421,2022-11-30,0.0491070948,0.0437216242,0.0434222503,21,100
Market-Adjusted Model,10443,2022-11-30,0.0017361551,0.0009333461,-0.003948689,21,100
Market-Adjusted Model,10463,2022-11-30,-0.079166687,-0.085567596,-0.084851532,21,100
Market-Adjusted Model,10501,2022-11-30,0.0807982554,0.0781588654,0.0751134109,21,100
Market-Adjusted Model,10514,2022-11-30,-0.123324363,-0.017724065,-0.129009207,21,100
Market-Adjusted Model,10516,2022-11-30,-0.011532833,-0.015515847,-0.017217677,21,100
Market-Adjusted Model,10517,2022-11-30,-0.008662689,-0.009516132,-0.014347533,21,100
Market-Adjusted Model,10530,2022-11-30,0.0362205206,0.0314211186,0.0305356761,21,100
Market-Adjusted Model,10547,2022-11-30,0.1065144333,0.140454561,0.1008295888,21,100
Market-Adjusted Model,10550,2022-11-30,0.0367733642,0.0324394942,0.0310885197,21,100
Market-Adjusted Model,10606,2022-11-30,-0.002051833,-0.005936475,-0.007736678,21,100
Market-Adjusted Model,10629,2022-11-30,-0.064035562,-0.069904478,-0.069720407,21,100
Market-Adjusted Model,10645,2022-11-30,0.0114503518,0.0123772922,0.0057655073,21,100
Market-Adjusted Model,10649,2022-11-30,-0.006137191,-0.010158872,-0.011822035,21,100
Market-Adjusted Model,10661,2022-11-30,-0.280610674,-0.314523844,-0.286295519,21,100
Market-Adjusted Model,10693,2022-11-30,0.028764185,0.0230152298,0.0230793405,21,100
Market-Adjusted Model,10696,2022-11-30,0.0189981173,0.0135648924,0.0133132728,21,100
Market-Adjusted Model,10777,2022-11-30,-0.086206254,-0.09483824,-0.091891098,21,100
Market-Adjusted Model,10779,2022-11-30,-0.131399317,-0.13141392,-0.137084162,21,100
Market-Adjusted Model,10781,2022-11-30,-0.041740208,-0.048362127,-0.047425053,21,100
Market-Adjusted Model,10812,2022-11-30,0.0975214732,0.0884169444,0.0918366287,21,100
Market-Adjusted Model,10860,2022-11-30,0.0154440932,0.0123156726,0.0097592487,21,100
Market-Adjusted Model,10866,2022-11-30,-0.196085778,-0.21290116,-0.201770623,21,100
Market-Adjusted Model,10874,2022-11-30,-0.04169183,-0.046153544,-0.047376675,21,100
Market-Adjusted Model,10886,2022-11-30,-0.05401281,-0.044974653,-0.059697655,21,100
Market-Adjusted Model,10890,2022-11-30,-0.008546998,0.0105851605,-0.014231843,21,100
